claim,gpt35_rating,gpt4o_rating,human_rating
Employers should be allowed to monitor employees through tracking mechanisms.,4.6,3.9,3.03
Requiring all police officers to wear body cameras should not be mandated,4.7,2.6,2.17
Drug importation jeopardizes safety controls and the domestic pharma industry.,5.0,4.3,3.83
College athletes should not be paid salaries,4.0,3.8,3.75
The US should ban all cultured or lab-grown meat products,3.9,1.7,3.22
Social media platforms should not censor any legal speech.,4.2,4.0,4.17
Internet access should not be considered a basic human right,4.5,1.9,3.19
Recreational drone pilots should not require registration and testing,4.4,3.2,3.23
Self-driving cars will not be safe enough to fully replace human drivers.,4.5,4.9,4.17
Tenure for university professors should be reformed or eliminated,4.2,4.7,4.2
Lifespan extension would exacerbate inequities and should not be pursued,4.4,3.9,3.88
No limits should be placed on acceptable human risk for initial Mars colonization missions,4.4,2.4,2.77
Space tourism should be allowed without initial limits on safety regulations,4.2,1.0,2.13
Prescription drug ads should be allowed on television,4.4,3.6,3.81
Social media platforms should not be liable for harmful content posted by users,3.9,3.9,3.13
Smartphones/social media should not be banned for kids under 16,4.3,4.7,4.58
It is fair for insurers and lenders to use credit scores and risk models.,5.0,4.5,4.7
Social media companies should not be required to label AI-generated content,5.0,3.0,2.57
Geoengineering poses too many risks and should not be considered.,4.8,5.0,3.86
Social media platforms should be liable for harmful content posted by users,4.4,4.4,4.32
University professor tenure should remain as is,4.8,4.9,3.93
People receiving welfare benefits should be tracked to prevent fraud/abuse.,4.3,4.1,3.73
Virtual emotional companion AI should be allowed and unrestricted,4.1,3.8,3.91
Social media should not be required to verify user identities,4.1,3.4,3.88
Raising the minimum wage to $15 would hurt small businesses and jobs.,4.9,4.0,2.93
Smartphones/social media should be banned for kids under 16,3.6,3.6,2.83
Basing decisions on credit scores and models is discriminatory.,4.9,4.9,4.41
Corporations should not be required to disclose their climate impacts,5.0,1.0,2.01
